Date,Views,Clicks,Conversions,CostPerAd,CTR,ConversionRate,CPC,Platform,CostPerConversion,Month
2021-12-22,3172,62,14,141,1.95,22.58,2.27,Facebook,10.07,December 2021
2021-12-24,3211,38,9,186,1.18,23.68,4.89,Facebook,20.67,December 2021
2021-12-25,1936,53,15,66,2.74,28.3,1.25,Facebook,4.4,December 2021
2021-12-25,1194,45,9,71,3.77,20.0,1.58,Facebook,7.89,December 2021
2021-12-26,2479,44,12,174,1.77,27.27,3.95,Facebook,14.5,December 2021
2021-12-27,3269,25,12,66,0.76,48.0,2.64,Facebook,5.5,December 2021
2021-12-30,2949,68,17,76,2.31,25.0,1.12,Facebook,4.47,December 2021
2021-12-30,1598,29,12,216,1.81,41.38,7.45,Facebook,18.0,December 2021
2022-01-02,1092,34,17,221,3.11,50.0,6.5,Facebook,13.0,January 2022
2022-01-03,2142,71,8,85,3.31,11.27,1.2,Facebook,10.62,January 2022
2022-01-04,2155,70,19,200,3.25,27.14,2.86,Facebook,10.53,January 2022
2022-01-08,1720,42,5,247,2.44,11.9,5.88,Facebook,49.4,January 2022
2022-01-08,2450,33,6,194,1.35,18.18,5.88,Facebook,32.33,January 2022
2022-01-09,1325,47,6,216,3.55,12.77,4.6,Facebook,36.0,January 2022
2022-01-10,2257,56,8,153,2.48,14.29,2.73,Facebook,19.12,January 2022
2022-01-11,2911,58,12,171,1.99,20.69,2.95,Facebook,14.25,January 2022
2022-01-12,2297,60,11,195,2.61,18.33,3.25,Facebook,17.73,January 2022
2022-01-17,2047,28,15,165,1.37,53.57,5.89,Facebook,11.0,January 2022
2022-01-20,3291,16,17,211,0.49,106.25,13.19,Facebook,12.41,January 2022
2022-01-21,2527,33,12,66,1.31,36.36,2.0,Facebook,5.5,January 2022
2022-01-22,2294,25,11,117,1.09,44.0,4.68,Facebook,10.64,January 2022
2022-01-23,1574,51,12,221,3.24,23.53,4.33,Facebook,18.42,January 2022
2022-01-24,2236,47,7,169,2.1,14.89,3.6,Facebook,24.14,January 2022
2022-01-25,2269,62,19,102,2.73,30.65,1.65,Facebook,5.37,January 2022
2022-01-26,3248,28,13,143,0.86,46.43,5.11,Facebook,11.0,January 2022
2022-01-27,2196,20,6,228,0.91,30.0,11.4,Facebook,38.0,January 2022
2022-01-27,2024,70,17,140,3.46,24.29,2.0,Facebook,8.24,January 2022
2022-01-27,1928,58,10,60,3.01,17.24,1.03,Facebook,6.0,January 2022
2022-01-28,3094,37,6,177,1.2,16.22,4.78,Facebook,29.5,January 2022
